No,Player,Team,Seasons,Apps,Min,G,A,xG,xA
459,Rodrigo Bentancur,Tottenham,2022,17,1376,0,4,0.58,3.09
460,Joe Rodon,Tottenham,2022,3,86,0,0,0,0
461,Ryan Sessegnon,Tottenham,2022,15,1065,0,2,0.38,3.28
462,Oliver Skipp,Tottenham,2022,18,1340,0,0,0.15,0.76
463,Bryan Gil Salvatierra,Tottenham,2022,9,76,0,0,0.1,0.1
464,Japhet Tanganga,Tottenham,2022,11,751,0,0,0.45,0.25
465,Dane Scarlett,Tottenham,2022,1,2,0,0,0,0
466,Emmanuel Dennis,Watford,2022,33,2612,10,6,7.01,3.96
467,Joshua King,Watford,2022,32,2247,5,3,8.28,4
468,Ismaila Sarr,Watford,2022,22,1872,5,2,4.25,2.92
469,Juan Camilo Hernández,Watford,2022,25,1125,5,2,2.66,1.7
470,João Pedro,Watford,2022,28,1619,3,1,4.45,2.1
471,Moussa Sissoko,Watford,2022,36,3222,2,1,4.18,2.61
472,Dan Gosling,Watford,2022,4,167,1,0,0.2,0.05
473,Juraj Kucka,Watford,2022,26,1928,1,1,2.51,1.06
474,Hassane Kamara,Watford,2022,19,1627,1,0,0.16,0.66
475,Troy Deeney,Watford,2022,2,19,0,0,0.11,0.03
476,Craig Cathcart,Watford,2022,31,2395,0,1,0.16,1.42
477,Tom Cleverley,Watford,2022,28,1644,0,2,0.71,1.43
478,Danny Rose,Watford,2022,8,692,0,0,0.16,0.63
479,Ben Foster,Watford,2022,26,2340,0,1,0,0.07
480,Daniel Bachmann,Watford,2022,12,1080,0,0,0,0
481,Samir,Watford,2022,19,1682,0,0,0.39,0.14
482,Adam Masina,Watford,2022,15,1073,0,1,0.27,0.82
483,Ashley Fletcher,Watford,2022,3,24,0,0,0.44,0
484,Christian Kabasele,Watford,2022,16,1188,0,0,1.31,0.18
485,Nicolas N'Koulou,Watford,2022,3,167,0,0,0,0.01
486,Kiko Femenía,Watford,2022,27,2157,0,5,0.06,3.58
487,Oghenekaro Etebo,Watford,2022,9,387,0,0,0.04,0.12
488,Ken Sema,Watford,2022,18,835,0,0,0.15,1.59
489,Samuel Kalu,Watford,2022,4,220,0,0,0.39,0.29
490,William Troost-Ekong,Watford,2022,17,1381,0,0,0.1,0.07
491,Francisco Sierralta,Watford,2022,5,430,0,0,0.03,0
492,Imran Louza,Watford,2022,20,1443,0,0,1.17,0.83
493,Jeremy Ngakia,Watford,2022,16,895,0,0,0.09,0.86
494,Ozan Tufan,Watford,2022,7,341,0,0,0.35,0.26
495,Edo Kayembe,Watford,2022,13,793,0,0,0.14,0.42
496,Jarrod Bowen,West Ham,2022,36,3003,12,10,12.93,5.82
497,Michail Antonio,West Ham,2022,36,2994,10,8,12.79,5.77
498,Said Benrahma,West Ham,2022,32,2208,8,6,6.16,4.77
499,Pablo Fornals,West Ham,2022,36,2805,6,3,5.14,5.97
500,Manuel Lanzini,West Ham,2022,30,1801,5,3,3.38,2.59
501,Tomas Soucek,West Ham,2022,35,3062,5,1,5.5,2.17
502,Aaron Cresswell,West Ham,2022,31,2734,2,3,0.91,3.67
503,Craig Dawson,West Ham,2022,34,2760,2,2,2.94,1.04
504,Angelo Ogbonna,West Ham,2022,11,921,1,0,0.61,0
505,Mark Noble,West Ham,2022,11,321,1,0,1.52,0.02
506,Kurt Zouma,West Ham,2022,24,2083,1,0,0.81,0.08
507,Arthur Masuaku,West Ham,2022,13,626,1,1,0.07,0.76
508,Declan Rice,West Ham,2022,36,3175,1,4,1.04,1.56
509,Andriy Yarmolenko,West Ham,2022,19,278,1,0,0.77,0.21
510,Nikola Vlasic,West Ham,2022,19,548,1,0,0.91,0.61
511,Ben Johnson,West Ham,2022,20,1402,1,0,0.15,0.56
512,Lukasz Fabianski,West Ham,2022,37,3330,0,0,0,0
513,Alphonse Areola,West Ham,2022,1,90,0,0,0,0
514,Issa Diop,West Ham,2022,13,964,0,1,0.06,0.29
515,Ryan Fredericks,West Ham,2022,7,296,0,0,0,0.12
516,Alex Kral,West Ham,2022,1,1,0,0,0,0
517,Vladimir Coufal,West Ham,2022,28,2211,0,4,0.56,2.71
518,Harrison Ashby,West Ham,2022,1,6,0,0,0,0
519,Sonny Perkins,West Ham,2022,1,1,0,0,0,0
520,Daniel Chesters,West Ham,2022,1,1,0,0,0,0
521,Raúl Jiménez,Wolverhampton,2022,34,2651,6,4,7.07,3.39
522,Hee-Chan Hwang,Wolverhampton,2022,30,1804,5,1,4.2,1.61
523,Conor Coady,Wolverhampton,2022,38,3369,4,0,2.33,0.08
524,Rúben Neves,Wolverhampton,2022,33,2674,4,2,1.12,2.24
525,Jonny,Wolverhampton,2022,13,1020,2,0,0.87,1.13
526,João Moutinho,Wolverhampton,2022,35,2987,2,1,1.12,2.77
527,Romain Saiss,Wolverhampton,2022,31,2721,2,0,3.2,0.32
528,Leander Dendoncker,Wolverhampton,2022,30,1941,2,2,2.45,0.97
529,Daniel Podence,Wolverhampton,2022,26,1491,2,3,2,4.25
530,Trincão,Wolverhampton,2022,28,1359,2,1,3.6,1.49
531,Adama Traoré,Wolverhampton,2022,20,1047,1,0,2.83,1.34
532,Pedro Neto,Wolverhampton,2022,13,451,1,1,1.64,1.5
533,Rayan Ait Nouri,Wolverhampton,2022,23,1820,1,2,0.55,1.65
534,Max Kilman,Wolverhampton,2022,30,2693,1,0,1.38,0.14
535,John Ruddy,Wolverhampton,2022,2,129,0,0,0,0
536,Fernando Marçal,Wolverhampton,2022,18,1468,0,0,0.6,0.72
537,Nélson Semedo,Wolverhampton,2022,25,2151,0,1,1.39,1.36
538,Willy Boly,Wolverhampton,2022,10,900,0,0,0.09,0.06
539,Morgan Gibbs-White,Wolverhampton,2022,2,4,0,0,0.1,0
540,Luke Cundle,Wolverhampton,2022,4,181,0,0,0,0.53
541,Ki-Jana Hoever,Wolverhampton,2022,8,304,0,0,0.03,0.09
542,Fabio Silva,Wolverhampton,2022,22,558,0,0,2.74,0.41
543,José Sá,Wolverhampton,2022,37,3291,0,1,0,0.4
544,Chem Campbell,Wolverhampton,2022,1,9,0,0,0,0
545,Toti,Wolverhampton,2022,4,360,0,0,0.04,0
546,Chiquinho,Wolverhampton,2022,8,191,0,3,0.56,1.09
